kdrama_id,drama_name,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,Genre
92,Reborn Rich,2022,['Jeong Dae Yun'],['Kim Tae Hee'],South Korea,Drama,16,4500.0,2022-11-18,2022-12-25,"Friday, Saturday, Sunday",jTBC ViuTV,15+ - Teens 15 or older,"Yoon Hyun Woo is a devoted, hard-working, and loyal secretary to the Soonyang chaebol family, which runs the lucrative Soonyang Group business empire, founded by Jin Yang Cheol. During a power struggle between Jin Yang Cheol's children for control of the empire, Hyun Woo is ruthlessly betrayed and killed under the orders of an unknown member of the chaebol family. Miraculously he wakes up as a kid inside the body of the youngest member of the family – Jin Do Jun.After he realizes what has happened, Yoon Hyun Wo plots to use his new “identity” to formulate a hostile takeover of the group – and punish the people who killed him. But, will the cold-blooded and money-hungry CEO of Soonyang Group, one who firmly believes in right of primogeniture, be so easy to win over or conquer? Will Hyun Woo be able to wrest the reins from Jin Yang Cheol's children? And what role will be played in all this by a dogged public prosecutor named Seo Min Young, nicknamed “Soonyang Group Grim Reaper”?(Source: LuckyGirlGwenIce at MyDramaList)~~ Adapted from the web novel ""Youngest Son of a Conglomerate"" (재벌집 막내아들) by San Gyung (산경).",398,275,"Drama, Fantasy, Mystery"
93,Somebody,2022,['Jung Ji Woo'],['Han Ji Wan'],South Korea,Drama,8,3300.0,"Nov 18, 2022","Nov 18, 2022",Friday,Netflix,18+ Restricted (violence & profanity),"Sum is a developer for the social-connecting app ""Somebody."" Even though she has difficulty communicating with other people, she is friends with Mok Won and Ki Eun. Her friend Ki Eun works as a detective.A murder takes place, and the app ""Somebody"" is involved in the murder case. Architectural designer Yoon O appears in front of Sum and her friends. Yoon O is an attractive man, but he seems to be hiding something. Meanwhile, Ki Eun investigates the murder case with the help of Mok Won.(Source: AsianWiki)~~ Adapted from the novel “American Psycho” by Brett Easton Ellis.~~ Release dates: Oct 6, 2022 (Festival) || Nov 18, 2022 (Netflix)",8353,891,"Drama, Thriller, Mystery"
94,Phantom School,2022,,,South Korea,Drama,8,1800.0,2022-11-16,2022-12-07,Wednesday,Viki,15+ - Teens 15 or older,"Nestled quietly in the heart of a buzzing community, there sits a school that to any who might pass it by, appears to be quite normal. However, as is often the case, looks can be quite deceiving. Inhabited by several malicious phantoms, this school plays host to more than its dedicated faculty and lively student body.While most of the students at this school are largely unaware of the otherworldly beings who exist beside them, some are easily swayed by the phantom’s presence. For those who are easily manipulated by the specters, life has a way of quickly becoming a living nightmare as they’re forced to give in to the evil desires of their ghastly tormentors. But even as some students are swayed by the phantoms, others have taken on the role of a hunter and have accepted the responsibility of fighting against them.One such hunter, Lee Do Gyeom, has dedicated his life to this task. As a student currently enrolled in this phantom school, it’s up to him to save those afflicted by the evil which haunts its halls. But does he have the strength to take on this malicious force alone? (Source: Viki)",7456,5465,"Drama, Action, Fantasy"
95,The First Responders,2022,['Shin Kyung Soo'],['Min Ji Eun'],South Korea,Drama,12,3600.0,2022-11-12,2022-12-30,"Friday, Saturday",DRAMAcube ENA SBS SBS Plus,18+ Restricted (violence & profanity),"Follow the joint operations of a police force and a fire department, who together will tell a thrilling story. Fierce detective Jin Ho Gae is all about catching low-lifes. He solves cases with his excellent ability to grasp crime scenes, read a criminal's mind, and has a strong will to win. While the fearless firefighter Bong Do Jin, who seems cold on the outside, is nice to those around him, and he takes good care of victims. He rushes to fire sites without a moment of hesitation. Joining the duo is Song Seol, an empathetic paramedic who heals broken hearts while treating wounds.(Source: pinkvilla.com)",278,962,Drama
96,Revenge of Others,2022,['Kim Yoo Jin'],['Lee Hee Myung'],South Korea,Drama,12,3720.0,2022-11-09,2022-12-14,Wednesday,Disney+ Hulu,18+ Restricted (violence & profanity),"A boy falls to his death at school, but Ok Chan Mi does not believe that her twin brother, Park Won Seok, committed suicide. She then transfers to her brother's school, Yongtan High, and meets Ji Soo Heon, who witnessed her brother's death. During that time a ""hero,"" who avenges bullied students, appears at Yongtan High. Chan Mi speculates that it may be connected to her brother and starts looking for this hero.(Source: Hulu)",446,348,"Drama, Thriller, Mystery"
97,Chart Running Scholar,2022,['Lee Si Young'],['Sung Sang Min'],South Korea,Drama,6,840.0,2022-11-08,2022-12-13,Tuesday,,Not Yet Rated,"A time-slip stock romance that takes place when a scholar of the Joseon Dynasty, An Ta, meets Min Ji, an MZ generation office worker, and discovers his talent for stock investment that he did not know.(Source: Hancinema) ",53555,11452,"Comedy, Fantasy"
98,Behind Every Star,2022,['Baek Seung Ryong'],['Park So Young'],South Korea,Drama,12,4200.0,2022-11-07,2022-12-13,"Monday, Tuesday",Netflix tvN,15+ - Teens 15 or older,"The story is set around Method Entertainment, which is a major management company and depicts their work lives, personal lives, and desires.Ma Tae Oh works as a professional manager and holds the position of general director at Method Entertainment. He is smart and gentle, but he was born to be a strategist, and he doesn’t mind using all sorts of tricks to achieve what he wants.Cheon Je In has worked as a manager for 14 years. She started as an on-site manager, and she now works as a leader of a manager team. She is competitive and a workaholic. She is hot-tempered, and when she sets a goal, she will try to achieve it without careful thinking. She and Ma Tae Oh have many disagreements along the way.Kim Joong Don is Cheon Je In’s best friend at work, and he holds the same position as a leader of a manager team. He is a gentle person.So Hyun Joo is a rookie manager and often makes trouble at work. She grows as a professional manager through her experience.(Source: AsianWiki)~~ Remake of the French TV series ""Call My Agent!"" (Dix pour cent) [2015].",4732,2503,"Drama, Comedy"
99,Disarming Romance,2022,,,South Korea,Drama,3,540.0,2022-11-03,2022-11-17,Thursday,,Not Yet Rated,"Tells the story of Kang Yoo Hyuk, a North Korean defector who transferred to Hyesung High School.(Source: gossipchimp.com) ",6573,8061,"Drama, Comedy, Romance"
100,Our Relationship Ended Before It Began,2022,,,South Korea,Drama,4,480.0,2022-11-02,2022-11-23,Wednesday,,Not Yet Rated,"Kim Ah Young recently started working at Yoon Ah's café. Although Yoon Ah's teasing initially got on her nerves, Ah Young quickly came to realize she was developing romantic feelings for her. But Yoon Ah recently came out of a bad relationship. Can they find the courage to pursue their budding feelings?(Source: MyDramaList) ",44534,9552,"Drama, Romance"
101,Curtain Call,2022,['Yoon Sang Ho'],['Jo Seong Geol'],South Korea,Drama,16,3600.0,2022-10-31,2022-12-27,"Monday, Tuesday",KBS2 Viki,13+ - Teens 13 or older,"Ja Geum Soon was born in 1930 in what is now North Korea. When the Korean War broke out in the 1950s, she escaped to what is now South Korea – and was torn away from her husband and young child. She dreamed of being reunited with them, so she founded a hotel that she hoped would become a metaphorical lighthouse – and bring her lost family back to her. This hotel became the successful Nakwon hotel chain.Now, Ja Geum Soon is approaching the end of her life, and she dreams of being reunited with the grandson she has never met: Im Moon Sung. Her ever-faithful assistant Jung Sang Cheol hatches a plan to help bring peace to the old woman before she dies – he will hire an actor to pose as Im Moon Sung. He seeks out Yoo Jae Heon, a struggling stage actor who has been playing a North Korean soldier in a theater performance. Yoo Jae Heon agrees. He is told to pose as a defector who has come to visit the old woman for a while before attempting to return to the North. However, it soon appears that he has bitten off more than he can chew. He also crosses paths with Park Se Yeon, Ja Geum Soon’s granddaughter – the woman who is running Nakwon... and has vowed not to allow it to fall into anyone else’s hands!(Source: Viki)",3637,1853,Drama
