kdrama_id,drama_name,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,Genre
1,Sing My Crush,2023,['So Joon Moon'],,South Korea,Drama,8,1500.0,"Aug  2, 2023","Aug  2, 2023",Wednesday,,Not Yet Rated,"Follow the story of acquaintances Ba Ram and Han Tae after an incident occurred during their school years. Now that they are adults, will Ba Ram be able to suppress the feelings for Han Tae that he has harbored for so long?(Source: BLUPDATE2022 Twitter)~~ Adapted from the webtoon ""Ttarabaram"" (따라바람) by Geom Dung (검둥). ",1484,2238,"Romance, Music"
2,D.P. Season 2,2023,,['Kim Bo Tong'],South Korea,Drama,6,3000.0,"Jul 28, 2023","Jul 28, 2023",Friday,Netflix,15+ - Teens 15 or older,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.(Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList)~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통). ",164,1084,"Action, Drama, Military"
3,Shadow Detective Season 2,2023,['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']",South Korea,Drama,8,3300.0,2023-07-05,2023-07-26,Wednesday,Disney+ Hulu,15+ - Teens 15 or older,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.(Source: Sports Chosun; edited by Krystale Mitaesa at MyDramaList) ",2443,6915,"Crime, Mystery, Thriller"
4,To Be Honest,2023,,,South Korea,Drama,3,600.0,2023-06-30,2023-07-14,Friday,,Not Yet Rated,"Don't you have those days where the whole universe seems to be against you? For example, when you're called on in class, or you get your period right before your exams begin, or when you're talking to someone your really like but have an eye booger. But perhaps it's more that I didn't want my life to be so smooth-sailing. Why did my life turn out this way? To be honest, I want to go home.(Source: 콬TV Youtube)",49895,99999,"Drama, Romance"
5,Celebrity,2023,['Kim Chul Gyu'],['Kim Yi Young'],South Korea,Drama,12,2700.0,"Jun 30, 2023","Jun 30, 2023",Friday,Netflix,18+ Restricted (violence & profanity),Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.(Source: Netflix) ,826,547,"Drama, Thriller"
6,Blue Temperature,2023,,,South Korea,Drama,4,420.0,2023-06-28,2023-07-19,Wednesday,Naver TV Cast,Not Yet Rated,"Set in the picturesque town of Cheongdo, this story revolves around the lives of two high school students, Soo Ah and Soo Hyuk. Soo Ah temporarily moves to Cheongdo to help her mother with persimmon farming. While adjusting to the new environment, she encounters Soo Hyuk, a responsible and hardworking student who is determined to carry on his family's café business. Soo Hyuk also happens to be  Soo Ah's first love.As Soo Ah and Soo Hyuk spend time together in Cheongdo, their friendship gradually blossoms into a deep bond.(Source: SooNum at MyDramaList)",47245,15405,"Romance, Drama"
7,Numbers,2023,['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']",South Korea,Drama,12,3600.0,2023-06-23,2023-07-29,"Friday, Saturday",MBC,15+ - Teens 15 or older,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?(Source: Viu)",2685,1546,"Drama, Comedy, Action, Anime"
8,Revenant,2023,"['Lee Jung Rim', 'Kim Jae Hong']",['Kim Eun Hee'],South Korea,Drama,12,4200.0,2023-06-23,2023-07-29,"Friday, Saturday",SBS,15+ - Teens 15 or older,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.Ku San Young is busy working part-time during the day and studying to become a low-ranking public officer at night. One day, she receives some articles left behind by her late father. Since then, mysterious deaths take place around her. She also finds herself slowly changing.Yeom Hae Sang comes from a rich background. He teaches Korean folklore at a university. Since he was a child, he has had the special ability to see demons in this world. He even saw his mother get killed by a demon in front of him when he was young. Yeom Hae Sang meets Ku San Young and he faces the demon which killed his mother.Lee Hong Sae is a lieutenant in the violent crimes investigation team. He only cares about advancing his career in the police department. Due to Ku San Young and Yeom Hae Sang, he gets involved in mysterious cases.(Source: AsianWiki)",236,769,"Thriller, Mystery, Supernatural"
9,Adult Kids,2023,,,South Korea,Drama,8,600.0,2023-06-19,2023-08-07,Monday,,Not Yet Rated,A hyper-realistic drama depicting the daily lives of clumsy women in their 30s in the fashion industry and their joys and sorrows at work.(Source: HanCinema) ,47813,10649,"Drama, Comedy"
10,Lies Hidden in My Garden,2023,['Jung Ji Hyun'],['Ji Ah Nee'],South Korea,Drama,8,3600.0,2023-06-19,2023-07-11,"Monday, Tuesday",ENA Genie TV,15+ - Teens 15 or older,"Moon Joo Ran grew up in a wealthy family. She is now a housewife and married to Jae Ho, who works as a doctor. They live in a house with a yard. Her peaceful daily life is abruptly shaken when she notices a strange smell in her backyard. This leads to Moon Joo Ran eventually investigating her husband and meeting Chu Sang Eun. Chu Sang Eun lives a completely different life from Moon Joo Ran. She grew up in a poor environment and, even now, suffers from financial difficulties. She lives in a shabby rented apartment with her husband, Kim Yun Beom. Kim Yun Beom works for a pharmaceutical company. Sang Eun is subject to domestic violence by her husband, Kim Yun Beom. Her life is completely miserable. One day, she receives a phone call that Kim Yun Beom is dead.(Source: AsianWiki)~~ Adapted from the novel ""Lies Hidden in My Backyard"" (마당이 있는 집) by Kim Jin Yeong (김진영).",3381,1843,"Drama, Thriller, Mystery"
11,King the Land,2023,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],South Korea,Drama,16,4800.0,2023-06-17,2023-08-06,"Saturday, Sunday",jTBC Netflix TVING,15+ - Teens 15 or older,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ",605,237,"Romance, Comedy"
12,See You in My 19th Life,2023,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']",South Korea,Drama,12,4200.0,2023-06-17,2023-07-23,"Saturday, Sunday",Netflix TVING tvN,15+ - Teens 15 or older,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).",467,297,"Drama, Comedy, Romance"
13,Bloodhounds,2023,,,South Korea,Drama,8,3600.0,"Jun  9, 2023","Jun  9, 2023",Friday,Netflix,18+ Restricted (violence & profanity),"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon Woo’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon Woo and Woo Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous money lender whose foster daughter is dead set on taking down the loan sharks.(Source: Netflix)~~ Adapted from the webtoon ""Bloodhounds"" (사냥개들) by Jeong Chan (정찬).",261,444,"Action, Crime, Drama"
14,Love Tractor,2023,['Yang Kyung Hee'],,South Korea,Drama,8,1500.0,2023-06-07,2023-06-21,Wednesday,,13+ - Teens 13 or older,"Seon Yul, a temporarily relocated city man, meets Ye Chan, a rural man who adores the countryside. Seon Yul comes to the countryside to experience life knowing nothing about farming and Ye Chan appears before him. As Seon Yul learns to adapt to rural living and engage in farming activities, he becomes increasingly attracted to Ye Chan's sincerity and enthusiasm. Together, the two embark on a chaotic and romantic countryside journey of healing and love. (Source: iQIYI)~~ Adapted from the webtoon ""Love Tractor"" (트랙터는 사랑을 싣고) written by Hmm Yong Yong (흠념뇸) and illustrated by AngryMonster (앵몬).",2342,1099,"Drama, Romance"
15,Romance by Romance,2023,,,South Korea,Drama,10,900.0,2023-06-07,2023-06-28,Wednesday,,15+ - Teens 15 or older,"Having never been involved in a long-term relationship, Ha Yoon was hoping that her current boyfriend, Nam Tae Ryun, would be the one to change all of that. But when he announces he wants to break up with her before they even reach their 100th day, Ha Yoon refuses to accept her fate without a fight.Determined to make this relationship last, Ha Yoon suggests a month-long “break-up grace period” in which she and Tae Ryun are allowed to spend as much time apart as they want, without calling things off completely. Agreeing to her terms, Tae Ryun and Ha Yoon draw up a contract in which the terms of their grace period are clearly stated. While Tae Ryuun goes about his life, Ha Yoon somehow finds herself signing an entirely different contract with her best friend and college colleague, Kang Jin.Though certain his month away from Ha Yoon would be easy, Tae Ryun begins to have second doubts when he realizes she’s been spending time with Kang Jin. With unexpected feelings of jealousy stirring, will Tae Ryun be willing to let Ha Yoon go without a fight?(Source: Viki)",6232,7118,"Drama, Romance"
16,The Villain of Romance,2023,,,South Korea,Drama,10,2700.0,2023-06-05,2023-06-27,"Monday, Tuesday",MBC Dramanet,15+ - Teens 15 or older,"A coming-of-age story and realistic romance about young college “villains” who are still learning about love. Kang Hee Jae desperately wants to appear cool to others, but secretly feels smaller than plankton on the inside. While struggling to forgive his girlfriend, Yoo Jin, for her “savage” behavior, he winds up gradually transforming into an obsessive monster.Meanwhile, Ban Yoo Jin is a highly intelligent older student at Kang Hee Jae’s college. Because Yoo Jin can never seem to keep a relationship going for longer than 100 days, she starts to worry that she’ll wind up living a lonely life alone. So when younger student Hee Jae boldly shoots his shot, she decides to put him through some intense “training” as they date.",56335,7766,Romance
17,Sound Candy,2023,['Kang Hee Ju'],,South Korea,Drama,10,900.0,2023-06-03,2023-07-01,Saturday,TVING,G - All Ages,"A group of young individuals with different backgrounds come together at a pension located in Jeju. They rediscover their love and friendship through the mystery of""SoundCandy.""(Source: MyDramaList) ",54892,8575,"Drama, Fantasy, Romance"
18,Bitch X Rich,2023,,,South Korea,Drama,10,2100.0,2023-05-31,2023-06-28,Wednesday,Netflix,15+ - Teens 15 or older,Baek Je Na is a third-generation conglomerate and a gold spoon of the highest class at Cheongdam International High School. Kim Hye In grew up in poverty and is offered a chance to study at the Cheongdam International High School in exchange for her silence on a murder she witnessed. Cheongdam International High School is a homicide mystery that follows Je Na’s rivalry with Kim Hye In as they are pitted against each other in mental warfare. (Sources: pinkvilla.com; nme.com),5659,1731,"Drama, Thriller, Mystery"
19,Battle for Happiness,2023,['Kim Yoon Cheol'],['Joo Young Ha'],South Korea,Drama,16,4200.0,2023-05-31,2023-07-20,"Wednesday, Thursday",Amazon Prime ENA TVING,Not Yet Rated,"A suspense drama depicting mothers engaged in a fierce social media battle to destroy each others' happiness for their own, to free themselves from oppression, hurt, and secrets, and regain their true selves.(Source: HanCinema)~~ Adapted from the novel ""Haengbokbaeteul"" (행복배틀) by Joo Young Ha (주영하). ",2952,3767,"Drama, Thriller, Mystery"
20,Delightfully Deceitful,2023,['Lee Soo Hyun'],['Han Woo Joo'],South Korea,Drama,16,4200.0,2023-05-29,2023-07-18,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"Clever con artist Lee Ro Um suffers from a distinct lack of empathy. One day, she is falsely implicated on charges of killing her estranged parents. She is exonerated after 10 years with the help of a passionate, highly empathetic lawyer, Han Moo Young.The two come to form an unlikely alliance to fight against wrongdoers and exact revenge on them.(Source: The Korea Times) ",3486,1302,"Drama, Crime"
21,One Day Off,2023,['Lee Jong Pil'],['Son Mi'],South Korea,Drama,8,1500.0,2023-05-24,2023-05-31,Wednesday,,Not Yet Rated,"Set in the 1990's, Park Ha Kyung teaches Korean literature at a high school. To escape her ordinary days, Park Ha Kyung decides to take one day trips on Saturdays. During her one day trip, she walks around, eats different foods, and meets various people. She realizes she receives comfort and empathy through her travels.(Source: AsianWiki) ",1223,3710,"Drama, Comedy, Travel"
22,Star Struck,2023,"['Park Sun Jae', 'Kim Hoon Gwang']",['Jung Hyun Woo'],South Korea,Drama,8,1020.0,2023-05-18,2023-06-08,Thursday,,15+ - Teens 15 or older,"When love is kept for a long time...will that feeling blossom?Seo Han Joon has been in love with his childhood friend, Jo Yoo Jae, for a long time. He knew his feelings wouldn’t be reciprocated, and it didn’t matter because he never even dreamed of confessing to him. But this time, he wanted to express his love...(Source: blupdate2020 at Twitter; edited by Khai at MyDramaList)~~ Adapted from the novel ""Star Struck"" (스타스트럭) by Ha Tae Jin (하태진).",8567,1323,"Drama, Romance"
23,Oh! Youngsim,2023,"['Kim Eun Kyung', 'Oh Hwan Min']",['Jeon Seon Young'],South Korea,Drama,10,3000.0,2023-05-15,2023-06-13,"Monday, Tuesday",ENA Genie TV,Not Yet Rated,"Oh Young Sim is single and in her 30s. She has worked as a TV variety show PD for 8 years. She wanted to make people laugh with her TV shows, which were always cancelled due to low popularity ratings. Her career is now in a crisis. She has a chance to produce a love entertainment show as a pilot program. For the show, Oh Young Sim casts famous start-up founder Mark Wang as a guest. She is surprised that Mark Wang is Wang Kyung Tae. When they were little, Wang Kyung Tae had a crush on Oh Young Sim, and he always let her know how he felt about her. Oh Young Sim did not feel the same way towards Wang Kyung Tae at the time. He then suddenly moved to the United States with his family. They lost contact with each other afterward.Now, 20 years after they were last together, Wang Kyung Tae appears in front of her as CEO Mark Wang. Meanwhile, PD Lee Chae Dong works with PD Oh Young Sim in the same variety show department. He is always on her side. Also, around Oh Young Sim is her friend Goo Wol Sook. She runs the popular YouTube video channel ""Ku's Date"".(Source: AsianWiki)~~ Adapted from the animated series ""Yeongsimi"" (영심이), which in turn is adapted from the comic series ""14-year-old Yeongsimi"" (열네 살 영심이) by Bae Geum Teak (배금택).",8020,2632,"Comedy, Romance"
24,Black Knight,2023,,,South Korea,Drama,6,2520.0,"May 12, 2023","May 12, 2023",Friday,Netflix,15+ - Teens 15 or older,"In 2071, toxic air pollution had devastated the world, leaving only 1% of the population alive. People rarely leave their homes without gas masks, and delivery drivers known as knights protect and deliver packages. One legendary knight, Knight 5-8, meets a young refugee named Sa Wol who dreams of becoming a knight. With the help of Seol A, an officer in the Defense Intelligence Command, Knight 5-8 trains and mentors Sa Wol, helping him achieve his dream in a dangerous and harsh world.(Source: CK Warrior at MyDramaList) ~~ Adapted from the webtoon ""Black Knight” (택배기사) by Lee Yoon Kyun (이윤균).",1422,608,"Drama, Fantasy, Science-Fiction"
25,Race,2023,['Lee Dong Yoon'],['Kim Roo Ri'],South Korea,Drama,12,3480.0,2023-05-10,2023-06-14,Wednesday,Disney+ Hulu,Not Yet Rated,"Office politics take center stage for marketer Park Yoon Jo, whose lack of an academic background won’t deter her dedication to her work, and the smart and just Ryu Jae Min, who lacks any expectations towards their company.(Source: Korean = Naver || Translation = MyDramaList) ",6265,4178,"Drama, Romance"
26,It Was Spring,2023,['Park Joon Sik'],,South Korea,Drama,8,1020.0,2023-05-08,2023-06-26,Monday,KBS1,Not Yet Rated,"Set in a high school in Mokpo, this webdrama perfectly reproduces various cultures and youth sensibilities such as music, dramas, movies, and fashion at a time, letting viewers to empathise and think about their memories.(Source: Korean = Naver || Translation = Xavier Ng at MyDramaList) ",55545,13235,"Drama, Comedy, Romance"
27,All That We Loved,2023,['Kim Jin Sung'],['Kang Yoon'],South Korea,Drama,8,2100.0,2023-05-05,2023-05-26,Friday,TVING,15+ - Teens 15 or older,"Depicts the solid friendship and sincere love story of 18-year-old youths who cannot give up love or friendship. The drama deals with the unique subject of cellular memory, which hypothesizes that memory is transferred to organ transplant recipients.Go Yoo is an 18-year-old student inhis second year of Hara High School. Go Yoo grows taller everyday, and he is often praised as a genius at basketball, which he originally started in order to grow taller. He’s also a charming student who manages to at least do averagely in school despite not studying. Go Yoo is too busy to date, and he’s preoccupied with protecting Joon Hee, but after he donates his kidney to Joon Hee, he becomes rivals in love with Joon Hee for the school’s No. 1 student and his first love So Yeondue tocellular memory syndrome.(Source: Naver; Soompi)",3866,2030,"Drama, Romance"
28,Love Mate,2023,['So Joon Moon'],,South Korea,Drama,8,1200.0,2023-05-04,2023-05-25,Thursday,,15+ - Teens 15 or older,"As a team leader, Seo Lee Joon is anything but soft. A leader at So What Media, Lee Joon’s content production team is one of the company’s best but by demanding the best from his team, he’s developed a reputation as the company’s toughest team leader. Seen by all as an iron-clad man who’s set in his ways, everyone is surprised when it becomes apparent that the company’s new employee, Jeong Ha Ram, has started to get under his skin.A very straightforward type of person, Ha Ram hides nothing about himself, including his sincere beliefs about love. Skeptical of love himself, Lee Joon has a hard time understanding how Ha Ram can be so open about love. Even more confusing for Lee Joon is trying to understand the feelings that he seems to be developing for the company’s newest employee. Finding themselves in a bit of a push-and-pull relationship, Lee Joon and Ha Ram begin to understand each other better, as they slowly learn about each other’s past and present struggles. Drawing ever closer, will this unlikely pair learn to let go of the past and allow themselves the freedom to experience true love?(Source: Viki)",5695,1135,"Comedy, Romance"
29,My Perfect Stranger,2023,"['Kang Soo Yeon', 'Lee Woong Hee']",['Baek So Yeon'],South Korea,Drama,16,4200.0,2023-05-01,2023-06-20,"Monday, Tuesday",KBS2 ViuTV,15+ - Teens 15 or older,"Yoon Hae Joon is the youngest anchor to ever work at his broadcasting station. He is calm and straightforward as a journalist and kind in his personal life. On the other hand, Baek Yoon Young dreamed of becoming a writer but wound up working at a publishing company. The two somehow travel back in time to the year 1987. There, Yoon Hae Joon tries to find the truth behind a serial murder case while Baek Yoon Young attempts to prevent her parents from marrying. They soon realize that their objectives are connected. (Source: AsianWiki; edited by MyDramaList)",310,981,"Drama, Romance"
30,Finland Papa,2023,,,South Korea,Drama,6,1680.0,2023-04-29,2023-05-14,"Saturday, Sunday",,Not Yet Rated,"Lee Yu Ri is a young woman recently rocked by the death of her grandmother, her most beloved family member. Heartbroken, she decides to try to make a new start by finding a job and interviews at a café named Finland Papa operated by a mysterious figure known only as “Papa.” When she arrives, the staff members give her a meal and eat with her. She proceeds to do so — only to discover that eating was actually her “interview!”Lee Yu Ri lands the job, but is soon flummoxed to learn that the other staff members, like her, have no idea who Papa is. She also comes to learn that the staff members must take on “family names” and must always dine together to maintain “family harmony.” This rule echoes sage words her grandmother once told her. It also reminds her of her closest friend and first love Baek Woo Hyun. When they were younger, Baek Woo Hyun would never let Lee Yu Ri eat alone and always did his best to raise her spirits. Their parting was sad. Could working at Finland Papa somehow lead to their reconciliation?(Source: Viki)",6394,5609,"Drama, Romance"
31,Happy Merry Ending,2023,['Min Chae Yeon'],['Seok Bo Bae'],South Korea,Drama,8,900.0,2023-04-27,2023-05-19,"Thursday, Friday",,13+ - Teens 13 or older,"Seung Jun is a singing coach and part-time singer at weddings, where he performs without any enthusiasm. He is insecure and withdrawn and has suffered panic attacks since being brutally dumped by his first love. Jae Hyun, a newly hired pianist at the wedding venue, becomes instantly besotted when he meets Seung Jun and immediately sets out to pursue him romantically. Seung Jun, while not rejecting Jae Hyun’s advances outright, is unable to let anyone get close to him. As the two continue to work together at weddings, will the warm and outgoing Jae Hyun succeed in wearing down Seung Jun’s defences?(Source: MyDramaList)~~ Adapted from the webtoon“Happy Merry Ending” (해피메리엔딩) by dorae (도래).",7632,1366,"Drama, Romance"
32,The Good Bad Mother,2023,['Shim Na Yeon'],['Bae Se Young'],South Korea,Drama,14,4200.0,2023-04-26,2023-06-08,"Wednesday, Thursday",jTBC Netflix TVING,15+ - Teens 15 or older,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor and kept his distance from his mother. However, an unexpected accident caused him to return to his hometown and start over with Young Soon. Kang Ho's childhood friend Mi Joo, known for her warm heart and strong sense of justice, also reconnected with him after his accident, leading to a transformative experience for her.(Source: CK Warrior at MyDramaList)",75,370,"Drama, Family"
33,Queen of Masks,2023,['Kang Ho Jun'],['Im Do Wan'],South Korea,Drama,16,4800.0,2023-04-24,2023-06-13,"Monday, Tuesday",Channel A,Not Yet Rated,"Do Jae Yi is a human rights lawyer who has built up a large following on social media. She has a reputation for defending the vulnerable and victims of sexual crime. Ten years ago, she was the victim of a terrible, haunting crime. Now, she has become a veritable “queen of masks.” To most of the world, she is a paragon of justice. But behind closed doors, she is exploiting a corrupt politician. And she is secretly helping the current mayor to get out of messy situations – as part of her own plan to become the next mayor.Do Jae Yi is friends with two powerful women. The first is Joo Yoo Jung, the director of an influential arts foundation. The second is the hard-working and ambitious Yoon Hae Mi, who worked her way up from the bottom at a prestigious hotel to the position of Vice President. The three women’s former friend, Go Yoo Na feels she was betrayed by the rest of the women. She moved to the USA in a bid to start her life again. But when she returns to South Korea in search of her missing daughter, her path crosses with those of her former friends. Could revenge be in the cards when they reunite?(Source: Viki)",6516,5979,"Drama, Thriller, Mystery"
34,My 20th Twenty,2023,,,South Korea,Drama,12,900.0,2023-04-21,2023-05-27,"Friday, Saturday",,15+ - Teens 15 or older,"So Won was born in 1981, so she should be in her forties now, but when she became twenty in 2000, she encountered a witch by chance. So Won was cursed by the witch because she turned down her favour. The curse was ""to live as a twenty-year-old woman for the rest of her life."" At first, she thinks it will be a blessing but soon suffers from the pain of losing her beloved ones and making no progress. One day, So Won happens to spot the witch in a photo, so she heads to the resort in the photo's backdrop. To lift the curse, she sneaks in as a resort staff and meets Kang Hyun and Sang Wook there. (Souce: KOCOWA)",7400,5558,"Drama, Music"
35,Family: The Unbreakable Bond,2023,"['Jang Jung Do', 'Lee Jung Mook']",['Jung Yoo Sun'],South Korea,Drama,12,4800.0,2023-04-17,2023-05-23,"Monday, Tuesday",TVING tvN,15+ - Teens 15 or older,"Kwon Do Hoon is an expert sniper and a secret agent working for the National Intelligence Service. To conceal his true identity, he lives a double life as a regular trading company employee, keeping even his wife Kang Yoo Ra in the dark. Though he is occupied with his work, Kwon Do Hoon cherishes his wife deeply. Meanwhile, Kang Yoo Ra, a dedicated homemaker, harbors a secret. Their tranquil existence is thrown into turmoil when Tae Koo emerges, posing a threat to their carefully crafted façade.(Source: CK Warrior at MyDramaList)",4769,1361,"Comedy, Family"
36,Doctor Cha,2023,"['Kim Dae Jin', 'Kim Jung Wook']",['Jung Yeo Rang'],South Korea,Drama,16,3600.0,2023-04-15,2023-06-04,"Saturday, Sunday",jTBC Netflix,15+ - Teens 15 or older,"Cha Jung Sook is married to Seo In Ho, who works as a chief surgeon at a university hospital. He has a strict, sensitive, and thoroughgoing personality. Cha Jung Sook has been a full-time housewife for 20 years, giving up her career as a doctor during her medical resident years. After all those years, she decides to restart her medical resident course.(Source: AsianWiki) ",1709,765,Medical
37,Queenmaker,2023,['Oh Jin Suk'],['Moon Ji Young'],South Korea,Drama,11,4020.0,"Apr 14, 2023","Apr 14, 2023",Friday,Netflix,15+ - Teens 15 or older,"After a tragic accident, a powerful fixer uses her skills to transform a civil rights lawyer into the next mayor — and take down her former employer.Hwang Do Hee is a skilled career woman who hasn’t come down from her 12 centimeter (approximately 4.7 inch) high stilettos for the past 12 years. She’s the best in her field of President Identity (PI) consulting and is the leader of the Strategic Planning Office at Eunsung Group, the third largest domestic business. By analyzing the appearance, voice tone, habits, preferences, rumors, and fatal weaknesses of the Eunsung Group’s owner’s family, she is able to perfectly present them in a way that reduces owner risk. Despite all her hard work in this field, she overcomes adversity to work towards making Oh Kyung Sook the mayor of Seoul.Oh Kyung Sook is a labor rights lawyer nicknamed “crazy rhinoceros.” For the past 20 years, Oh Kyung Sook hasplowed through like a “rhino’s horn” for common people and workers and is a self-proclaimed Korean Lady of Justice. She is the president of the Women’s Worker Association, Korean Women’s Human Rights Wave, and leader of the Worker’s Solidarity with Rights foundation, proving her charm as a powerful female lead who stops at nothing to protect the weak. As a current labor rights lawyer and a popular YouTuber, Oh Kyung Sook has no interest in authority, but thanks to the help of “Queen Maker” Hwang Do Hee, she becomes determined to become the mayor of Seoul.These two women who used to lead starkly different lives leave everything they know behind to combine forces and create a just and truthful world.(Source: Soompi, Netflix)",1192,2406,"Drama, Legal"
38,Stealer: The Treasure Keeper,2023,"['Choi Joon Bae', 'Min Jung Ah']",['Shin Kyung Il'],South Korea,Drama,12,3600.0,2023-04-12,2023-05-18,"Wednesday, Thursday",tvN,15+ - Teens 15 or older,"Throughout history, the treasures of an old empire have always been the best items for thievery. A professional thief called ""Skunk"" forms an unofficial cultural heritage assets redemption team called ""Team Karma"" with a group of officials to pull off a heist to retrieve the stolen assets, a mission that is informal and illegal yet righteous in a sense. In front of them is a mission of massive proportion. Buried somewhere in Korea is a large number of cultural assets worth 30 trillion won as well as spiritual beads believed to provide eternal life. Against a group with a conscienceless purpose, Team Karma’s thrill-filled retribution starts.""Skunk"", his real name Hwang Dae Myung, is no ordinary thief. Dae Myung is an official with the Cultural Heritage Administration living a double life, a pathetic civil servant by day and a daring thief by night. When the Seoul Metropolitan Police Agency’s cultural property team recovers some of the country’s missing cultural assets, both of his lives start to unravel.  (Source: Viu, ShingetsuNews, MyDramaList)",3588,2023,"Comedy, Thriller, Mystery"
39,Pale Moon,2023,"['Yoo Jong Sun', 'Kim Seung Woo']",['No Yoon Soo'],South Korea,Drama,10,3900.0,2023-04-10,2023-05-09,"Monday, Tuesday",ENA Genie TV,18+ Restricted (violence & profanity),"Yoo Yi Hwa lives with her husband, who is indifferent to her. Yoo Yi Hwa's life as a housewife is comfortable but boring. She begins to work at a bank as a contract worker. While working at the bank, she regains her confidence. But, Yoo Yi Hwa begins to steal money from her clients.(Source: AsianWiki)~~ Adapted from the novel ""Kami no Tsuki""(紙の月) by Mitsuyo Kakuta (角田光代). ",42476,6397,Drama
40,Joseon Attorney: A Morality,2023,"['Lee Han Joon', 'Kim Seung Ho']","['Choi Jin Young', 'Jung Ho Rak']",South Korea,Drama,16,4200.0,2023-03-31,2023-05-20,"Friday, Saturday",MBC,15+ - Teens 15 or older,"Kang Han Su is a devious lawyer who meticulously plans his lawsuits and exploits the emotions of his clients for personal gain. However, as he unintentionally gains a reputation as a hero and problem solver among the common people, he begins to see the value in seeking true justice. Over time, Kang Han Su matures into a just and ethical lawyer. One of his clients, Yi Yun Ju, initially hires him to seek revenge but ultimately becomes a supporter of his mission to uphold the law and defend the innocent. This transformation reflects Kang Han Su's growth as a legal professional and as a person.(Source: Soompi; Naver; edited by CK Warrior at MyDramaList)~~ Adapted from the webtoon “Joseon Lawyer” (조선변호사) written by Jeongjae & Shim Gun (정작가&심군).",2122,1201,"Drama, Romance"
